Rank	Company	Revenues	Revenue Percentage Change	Profits	Assets	Profits Percentage Change	Employees	Rank Change	Fortune Url	Country	Sector	Industry	CEO	HQ Location	Company Website
247	Bunge	"$45,743.00 "	-0.10%	$267 	"$19,425.00 "	66.90%	"31,000"	-14	https://fortune.com/global500/2019/bunge	U.S.	"Food, Beverages & Tobacco"	Food Production	Gregory A. Heckman	"White Plains, N.Y."	https://www.bunge.com
248	CNP Assurances	"$45,461.30 "	-10.40%	"$1,612.90 "	"$474,944.30 "	11.40%	"5,243"	-47	https://fortune.com/global500/2019/cnp-assurances	France	Financials	"Insurance: Life, Health (stock)"	Antoine Lissowski	Paris	https://www.cnp.fr
249	Wuchan Zhongda Group	"$45,435.00 "	11%	$362.40 	"$12,533.70 "	9.60%	"20,142"	21	https://fortune.com/global500/2019/wuchan-zhongda-group	China	Wholesalers	Trading	Wang Tingge	"Hangzhou, China"	https://www.wzgroup.com
250	Sinomach	"$45,424.00 "	6.50%	$487.80 	"$57,450.70 "	3.40%	"147,099"	6	https://fortune.com/global500/2019/sinomach	China	Industrials	Industrial Machinery	Zhang Xiaolum	Beijing	https://www.sinomach.com.cn
251	Aluminum Corp. of China	"$45,383.80 "	-2.80%	$112.70 	"$93,408.30 "	-	"124,965"	-29	https://fortune.com/global500/2019/aluminum-corp-of-china	China	Materials	Metals	Yu Dehui	Beijing	https://www.chalco.com.cn
252	SABIC	"$45,096.40 "	12.90%	"$5,738.30 "	"$85,231.20 "	16.80%	"33,000"	29	https://fortune.com/global500/2019/sabic	Saudi Arabia	Chemicals	Chemicals	Yousef Abdullah Al-Benyan	Riyadh	https://www.sabic.com
253	Volvo	"$44,957.00 "	14.80%	"$2,863.90 "	"$53,558.60 "	16.60%	"98,652"	33	https://fortune.com/global500/2019/volvo	Sweden	Motor Vehicles & Parts	Motor Vehicles and Parts	Martin Lundstedt	"G枚teborg, Sweden"	https://www.volvogroup.com
254	China Vanke	"$44,912.60 "	27.90%	"$5,105.70 "	"$222,652.20 "	23%	"104,300"	78	https://fortune.com/global500/2019/china-vanke	China	Financials	Real estate	Zhu Jiusheng	"Shenzhen, China"	https://www.vanke.com
255	Sberbank	"$44,898.40 "	-9.70%	"$13,268.50 "	"$450,270.00 "	3.10%	"293,752"	-50	https://fortune.com/global500/2019/sberbank	Russia	Financials	Banks: Commercial and Savings	Herman O. Gref	Moscow	https://www.sberbank.ru
256	Royal Bank of Canada	"$44,609.30 "	15.70%	"$9,635.80 "	"$1,016,475.50 "	10.30%	"81,870"	36	https://fortune.com/global500/2019/royal-bank-of-canada	Canada	Financials	Banks: Commercial and Savings	David I. McKay	"Toronto, Ontario, Canada"	https://www.rbc.com
257	American Airlines Group	"$44,541.00 "	5.50%	"$1,412.00 "	"$60,580.00 "	-26.40%	"128,900"	3	https://fortune.com/global500/2019/american-airlines-group	U.S.	Transportation	Airlines	W. Douglas Parker	Fort Worth	https://www.aa.com
258	Wilmar International	"$44,497.70 "	1.50%	"$1,128.00 "	"$45,679.90 "	-7.50%	"90,000"	-10	https://fortune.com/global500/2019/wilmar-international	Singapore	"Food, Beverages & Tobacco"	Food Production	Kuok Khoon Hong	Singapore	https://www.wilmar-international.com
259	Pegatron	"$44,453.30 "	13.30%	$368.70 	"$19,011.90 "	-23.60%	"156,477"	26	https://fortune.com/global500/2019/pegatron	Taiwan	Technology	"Electronics, Electrical Equip."	Syh-Jang Liao	Taipei	https://www.pegatroncorp.com
260	Delta Air Lines	"$44,438.00 "	7.70%	"$3,935.00 "	"$60,266.00 "	10%	"88,680"	6	https://fortune.com/global500/2019/delta-air-lines	U.S.	Transportation	Airlines	Edward H. Bastian	Atlanta	https://www.delta.com
261	Hanwha	"$44,303.00 "	-0.60%	$425.80 	"$151,966.10 "	18.70%	"58,070"	-17	https://fortune.com/global500/2019/hanwha	South Korea	Financials	"Insurance: Life, Health (stock)"	Tae-Jong Lee	Seoul	https://www.hanwhacorp.co.kr
262	China United Network Communications	"$43,974.40 "	8.10%	$616.90 	"$78,908.50 "	879.10%	"246,299"	11	https://fortune.com/global500/2019/china-united-network-communications	China	Telecommunications	Telecommunications	Wang Xiaochu	Beijing	https://www.chinaunicom-a.com
263	Shaanxi Yanchang Petroleum (Group)	"$43,858.10 "	12.80%	$306.50 	"$53,958.10 "	83.70%	"136,016"	25	https://fortune.com/global500/2019/shaanxi-yanchang-petroleum-group	China	Energy	"Mining, Crude-Oil Production"	Yang Yue	"Xi'an, China"	https://www.sxycpc.com
264	Charter Communications	"$43,634.00 "	4.90%	"$1,230.00 "	"$146,130.00 "	-87.60%	"98,000"	-	https://fortune.com/global500/2019/charter-communications	U.S.	Telecommunications	Telecommunications	Thomas M. Rutledge	"Stamford, Conn."	https://www.charter.com
265	Tata Motors	"$43,599.20 "	-4.90%	"($4,122.00)"	"$44,349.00 "	-395.60%	"81,090"	-33	https://fortune.com/global500/2019/tata-motors	India	Motor Vehicles & Parts	Motor Vehicles and Parts	Guenter Butschek	Mumbai	https://www.tatamotors.com
266	ZF Friedrichshafen	"$43,582.40 "	6.10%	"$1,064.50 "	"$30,897.60 "	-12.90%	"148,969"	2	https://fortune.com/global500/2019/zf-friedrichshafen	Germany	Motor Vehicles & Parts	Motor Vehicles and Parts	Wolf-Henning Scheider	"Friedrichshafen, Germany"	https://www.zf.com
267	Metro	"$43,466.50 "	6.10%	$409.30 	"$17,702.10 "	14.20%	"132,293"	2	https://fortune.com/global500/2019/metro	Germany	Retailing	Specialty Retailers	J枚rn H. Werner	"D眉sseldorf, Germany"	https://www.ceconomy.de
268	New York Life Insurance	"$43,425.30 "	2.70%	$880 	"$311,449.30 "	-52.90%	"11,388"	-10	https://fortune.com/global500/2019/new-york-life-insurance	U.S.	Financials	"Insurance: Life, Health (Mutual)"	Theodore A. Mathas	New York City	https://www.newyorklife.com
269	Banco do Brasil	"$43,332.90 "	-21.60%	"$3,782.90 "	"$360,361.10 "	13.60%	"96,889"	-94	https://fortune.com/global500/2019/banco-do-brasil	Brazil	Financials	Banks: Commercial and Savings	Rubem de Freitas Novaes	Bras?lia	https://www.bb.com.br
270	American Express	"$43,281.00 "	21.60%	"$6,921.00 "	"$188,602.00 "	153%	"59,000"	57	https://fortune.com/global500/2019/american-express	U.S.	Financials	Diversified Financials	Stephen J. Squeri	New York City	https://www.americanexpress.com
271	Nationwide	"$43,270.00 "	-1.50%	$512.60 	"$214,141.90 "	107.90%	"30,472"	-24	https://fortune.com/global500/2019/nationwide	U.S.	Financials	Insurance: Property and Casualty (Mutual)	Kirt A. Walker	"Columbus, Ohio"	https://www.nationwide.com
272	ACS	"$43,263.20 "	10%	"$1,079.90 "	"$39,199.60 "	19.50%	"195,461"	12	https://fortune.com/global500/2019/acs	Spain	Engineering & Construction	"Engineering, Construction"	Marcelino Fern谩ndez Verdes	Madrid	https://www.grupoacs.com
273	Shandong Weiqiao Pioneering Group	"$43,008.40 "	-19.20%	$852.60 	"$35,359.20 "	-32.90%	"106,044"	-88	https://fortune.com/global500/2019/shandong-weiqiao-pioneering-group	China	Industrials	Textiles	Zhang Bo	"Shandong, China"	https://www.weiqiaocy.com
274	UBS Group	"$42,960.00 "	7.60%	"$4,516.00 "	"$958,489.00 "	322.10%	"66,888"	32	https://fortune.com/global500/2019/ubs-group	Switzerland	Financials	Banks: Commercial and Savings	Sergio P. Ermotti	Zurich	https://www.ubs.com
275	Bharat Petroleum	"$42,935.60 "	16.50%	"$1,115.70 "	"$19,768.30 "	-20.20%	"12,865"	39	https://fortune.com/global500/2019/bharat-petroleum	India	Energy	Petroleum Refining	D. Rajkumar	Mumbai	https://www.bharatpetroleum.in
276	Best Buy	"$42,879.00 "	1.70%	"$1,464.00 "	"$12,901.00 "	46.40%	"125,000"	-15	https://fortune.com/global500/2019/best-buy	U.S.	Retailing	Specialty Retailers	Corie Barry	"Richfield, Minn."	https://www.bestbuy.com
277	Xiamen C&D	"$42,726.30 "	31.10%	$631.30 	"$36,868.00 "	106.90%	"24,016"	85	https://fortune.com/global500/2019/xiamen-cd	China	Wholesalers	Trading	Huang Wenzhou	"Xiamen, China"	https://www.chinacdc.com
278	Liberty Mutual Insurance Group	"$42,685.00 "	0.00%	"$2,160.00 "	"$125,989.00 "	12605.90%	"50,000"	-23	https://fortune.com/global500/2019/liberty-mutual-insurance-group	U.S.	Financials	Insurance: Property and Casualty (Stock)	David H. Long	Boston	https://www.libertymutual.com
279	China COSCO Shipping	"$42,607.70 "	22.90%	"$1,554.50 "	"$117,702.00 "	10.70%	"111,397"	56	https://fortune.com/global500/2019/china-cosco-shipping	China	Transportation	Shipping	Xu Lirong	Shanghai	https://www.coscoshipping.com
280	Jardine Matheson	"$42,527.00 "	7.80%	"$1,732.00 "	"$86,258.00 "	-54.20%	"469,000"	3	https://fortune.com/global500/2019/jardine-matheson	China	Motor Vehicles & Parts	Motor Vehicles and Parts	Ben Keswick	Hong Kong	https://www.jardines.com
281	Shaanxi Coal & Chemical Industry	"$42,418.80 "	10.20%	$90.80 	"$72,966.00 "	23.30%	"120,095"	13	https://fortune.com/global500/2019/shaanxi-coal-chemical-industry	China	Energy	"Mining, Crude-Oil Production"	Yang Zhaoqian	"Xi'an, China"	https://www.shccig.com
282	Talanx	"$42,390.50 "	9.80%	$829.70 	"$186,170.70 "	9.50%	"20,780"	9	https://fortune.com/global500/2019/talanx	Germany	Financials	Insurance: Property and Casualty (Stock)	Torsten Leue	"Hanover, Germany"	https://www.talanx.com
283	China National Aviation Fuel Group	"$42,370.90 "	32.60%	$476.20 	"$8,054.10 "	18.60%	"13,181"	88	https://fortune.com/global500/2019/china-national-aviation-fuel-group	China	Wholesalers	Trading	Zhou Qiang	Beijing	https://www.cnaf.com
284	Lufthansa Group	"$42,302.00 "	5.50%	"$2,552.70 "	"$43,677.50 "	-4.20%	"115,882"	-7	https://fortune.com/global500/2019/lufthansa-group	Germany	Transportation	Airlines	Carsten Spohr	"Cologne, Germany"	https://www.lufthansagroup.com
285	Merck	"$42,294.00 "	5.40%	"$6,220.00 "	"$82,637.00 "	159.80%	"69,000"	-9	https://fortune.com/global500/2019/merck	U.S.	Health Care	Pharmaceuticals	Kenneth C. Frazier	"Kenilworth, N.J."	https://www.merck.com
286	China Huaneng Group	"$42,280.90 "	8.80%	$8.90 	"$156,327.20 "	-95.90%	"136,031"	3	https://fortune.com/global500/2019/china-huaneng-group	China	Energy	Energy	Shu Yinbiao	Beijing	https://www.chng.com.cn
287	Bouygues	"$42,179.20 "	13.20%	"$1,547.20 "	"$43,084.20 "	26.50%	"129,275"	20	https://fortune.com/global500/2019/bouygues	France	Engineering & Construction	"Engineering, Construction"	Martin Bouygues	Paris	https://www.bouygues.com
288	Sanofi	"$42,104.90 "	3.20%	"$5,081.80 "	"$127,339.30 "	-46.50%	"104,226"	-17	https://fortune.com/global500/2019/sanofi	France	Health Care	Pharmaceuticals	Olivier Brandicourt	Paris	https://www.sanofi.com
289	China Everbright Group	"$41,879.70 "	16.90%	"$1,890.80 "	"$696,969.90 "	-0.20%	"70,000"	33	https://fortune.com/global500/2019/china-everbright-group	China	Financials	Banks: Commercial and Savings	Li Xiaopeng	Beijing	https://www.ebchina.com
290	Honeywell International	"$41,802.00 "	3.10%	"$6,765.00 "	"$57,773.00 "	308.80%	"114,000"	-15	https://fortune.com/global500/2019/honeywell-international	U.S.	Industrials	"Electronics, Electrical Equip."	Darius E. Adamczyk	"Morris Plains, N.J."	https://www.honeywell.com
291	Xiamen ITG Holding Group	"$41,437.50 "	25.90%	$62.80 	"$15,123.30 "	-41%	"23,159"	69	https://fortune.com/global500/2019/xiamen-itg-holding-group	China	Wholesalers	Trading	Xu Xiaoxi	"Xiamen, China"	https://www.itgholding.com.cn
292	Iberdrola	"$41,395.40 "	17.50%	"$3,557.10 "	"$129,202.30 "	12.50%	"33,216"	38	https://fortune.com/global500/2019/iberdrola	Spain	Energy	Utilities	Jos茅 Ignacio S谩nchez Gal谩n	"Bilbao, Spain"	https://www.iberdrola.com
293	United Airlines Holdings	"$41,303.00 "	9.50%	"$2,129.00 "	"$44,792.00 "	-0.10%	"92,000"	8	https://fortune.com/global500/2019/united-continental-holdings	U.S.	Transportation	Airlines	Oscar Munoz	Chicago	https://www.united.com
294	Maersk Group	"$41,256.00 "	10%	"$3,169.00 "	"$56,636.00 "	-	"84,404"	11	https://fortune.com/global500/2019/maersk-group	Denmark	Transportation	Shipping	S酶ren Skou	Copenhagen	https://www.maersk.com
295	Toronto-Dominion Bank	"$41,198.70 "	19.40%	"$8,751.50 "	"$1,016,604.20 "	10.10%	"84,383"	42	https://fortune.com/global500/2019/toronto-dominion-bank	Canada	Financials	Banks: Commercial and Savings	Bharat B. Masrani	"Toronto, Ontario, Canada"	https://www.td.com
296	GlaxoSmithKline	"$41,108.50 "	5.80%	"$4,832.30 "	"$73,941.20 "	145%	"95,490"	-6	https://fortune.com/global500/2019/glaxosmithkline	Britain	Health Care	Pharmaceuticals	Emma N. Walmsley	"Brentford, Britain"	https://www.gsk.com
297	TIAA	"$41,052.10 "	14%	"$1,560.50 "	"$568,190.20 "	48.70%	"17,643"	22	https://fortune.com/global500/2019/tiaa	U.S.	Financials	"Insurance: Life, Health (Mutual)"	Roger W. Ferguson Jr.	New York City	https://www.tiaa.org
298	Accenture	"$40,993.00 "	11.50%	"$4,059.90 "	"$24,449.10 "	17.80%	"459,000"	18	https://fortune.com/global500/2019/accenture	Ireland	Technology	Information Technology Services	Julie Sweet	Dublin	https://www.accenture.com
299	Magna International	"$40,827.00 "	4.80%	"$2,296.00 "	"$25,945.00 "	4.10%	"174,000"	-12	https://fortune.com/global500/2019/magna-international	Canada	Motor Vehicles & Parts	Motor Vehicles and Parts	Donald J. Walker	"Aurora, Ontario, Canada"	https://www.magna.com
300	Mitsubishi Electric	"$40,766.10 "	1.90%	"$2,044.20 "	"$39,362.20 "	-16.70%	"145,817"	-21	https://fortune.com/global500/2019/mitsubishi-electric	Japan	Industrials	"Electronics, Electrical Equip."	Takeshi Sugiyama	Tokyo	https://www.mitsubishielectric.com
301	Cedar Holdings Group	"$40,640.80 "	24.20%	$844.70 	"$20,932.80 "	-20.90%	"31,547"	60	https://fortune.com/global500/2019/cedar-holdings-group	China	Wholesalers	Trading	Zhang Jing	"Guangzhou, China"	https://www.cedarhd.com
302	Louis Dreyfus	"$40,571.00 "	-26.80%	$355 	"$18,440.00 "	12%	"16,785"	-129	https://fortune.com/global500/2019/louis-dreyfus	Netherlands	"Food, Beverages & Tobacco"	Food Production	Ian McIntosh	Rotterdam	https://www.ldc.com
303	Rio Tinto Group	"$40,522.00 "	1.20%	"$13,638.00 "	"$90,949.00 "	55.60%	"47,458"	-25	https://fortune.com/global500/2019/rio-tinto-group	Britain	Energy	"Mining, Crude-Oil Production"	Jean-S茅bastien Jacques	London	https://www.riotinto.com
304	Edeka Zentrale	"$40,454.20 "	9%	$380 	"$8,322.90 "	10.10%	"376,000"	6	https://fortune.com/global500/2019/edeka-zentrale	Germany	Wholesalers	Wholesalers: Food and Grocery	Markus Mosa	Hamburg	https://www.edeka-verbund.de
305	Caixa Econômica Federal	"$40,240.50 "	-26.10%	"$2,833.30 "	"$326,182.50 "	-27.70%	"84,952"	-	https://fortune.com/global500/2019/caixa-economica-federal	Brazil	Financials	Banks: Commercial and Savings	Pedro Duarte Guimaraes	Bras?lia	https://www.caixa.gov.br
306	Tyson Foods	"$40,052.00 "	4.70%	"$3,024.00 "	"$29,109.00 "	70.50%	"121,000"	-9	https://fortune.com/global500/2019/tyson-foods	U.S.	"Food, Beverages & Tobacco"	Food Production	Noel White	"Springdale, Ark."	https://www.tysonfoods.com
307	Oracle	"$39,831.00 "	5.60%	"$3,825.00 "	"$137,264.00 "	-59%	"137,000"	-5	https://fortune.com/global500/2019/oracle	U.S.	Technology	Computer Software	Safra A. Catz /Mark V. Hurd	"Redwood City, Calif."	https://www.oracle.com
308	Allstate	"$39,815.00 "	3.40%	"$2,252.00 "	"$112,249.00 "	-29.40%	"45,420"	-15	https://fortune.com/global500/2019/allstate	U.S.	Financials	Insurance: Property and Casualty (Stock)	Thomas J. Wilson	"Northbrook, Ill."	https://www.allstate.com
309	World Fuel Services	"$39,750.30 "	18%	$127.70 	"$5,676.90 "	-	"5,000"	42	https://fortune.com/global500/2019/world-fuel-services	U.S.	Energy	Energy	Michael J. Kasbar	Miami	https://www.wfscorp.com
310	ING Group	"$39,598.20 "	-29.70%	"$5,618.80 "	"$1,011,101.20 "	-8.80%	"53,768"	-139	https://fortune.com/global500/2019/ing-group	Netherlands	Financials	Banks: Commercial and Savings	Ralph Hamers	Amsterdam	https://www.ing.com
311	Centrica	"$39,594.70 "	9.70%	$244.10 	"$26,177.30 "	-43.10%	"31,780"	7	https://fortune.com/global500/2019/centrica	Britain	Energy	Utilities	Iain C. Conn	"Windsor, Britain"	https://www.centrica.com
312	Midea Group	"$39,581.60 "	10.60%	"$3,058.50 "	"$38,408.50 "	19.60%	"114,765"	11	https://fortune.com/global500/2019/midea-group	China	Industrials	"Electronics, Electrical Equip."	Fang Hongbo	"Foshan, China"	https://www.midea.com
313	Fresenius	"$39,571.00 "	3.60%	"$2,392.20 "	"$64,811.50 "	17%	"276,750"	-15	https://fortune.com/global500/2019/fresenius	Germany	Health Care	Health Care: Medical Facilities	Stephan Sturm	"Bad Homburg, Germany"	https://www.fresenius.com
314	Massachusetts Mutual Life Insurance	"$39,267.20 "	17.20%	$397.90 	"$265,812.60 "	-22.40%	"9,844"	43	https://fortune.com/global500/2019/massachusetts-mutual-life-insurance	U.S.	Financials	"Insurance: Life, Health (Mutual)"	Roger W. Crandall	"Springfield, Mass."	https://www.massmutual.com
315	Intesa Sanpaolo	"$39,050.60 "	9.20%	"$4,779.70 "	"$900,365.10 "	-42%	"92,117"	9	https://fortune.com/global500/2019/intesa-sanpaolo	Italy	Financials	Banks: Commercial and Savings	Carlo Messina	"Turin, Italy"	https://www.group.intesasanpaolo.com
316	LyondellBasell Industries	"$39,004.00 "	13.10%	"$4,688.00 "	"$28,278.00 "	-3.90%	"19,450"	22	https://fortune.com/global500/2019/lyondellbasell-industries	Netherlands	Chemicals	Chemicals	Bhavesh V. Patel	Rotterdam	https://www.lyondellbasell.com
317	TJX	"$38,972.90 "	8.70%	"$3,059.80 "	"$14,326.00 "	17.30%	"270,000"	4	https://fortune.com/global500/2019/tjx	U.S.	Retailing	Specialty Retailers	Ernie L. Herrman	"Framingham, Mass."	https://www.tjx.com
318	Yankuang Group	"$38,887.30 "	31.90%	($258)	"$44,774.80 "	-	"104,668"	81	https://fortune.com/global500/2019/yankuang-group	China	Energy	"Mining, Crude-Oil Production"	Li Xiyong	"Shandong, China"	https://www.ykjt.cn
319	ConocoPhillips	"$38,727.00 "	18.90%	"$6,257.00 "	"$69,980.00 "	-	"10,800"	44	https://fortune.com/global500/2019/conocophillips	U.S.	Energy	"Mining, Crude-Oil Production"	Ryan M. Lance	Houston	https://www.conocophillips.com
320	Barclays	"$38,278.30 "	10.90%	"$2,862.30 "	"$1,443,122.60 "	-	"83,500"	16	https://fortune.com/global500/2019/barclays	Britain	Financials	Banks: Commercial and Savings	James E. Staley	London	https://www.home.barclays
321	J. Sainsbury	"$38,064.00 "	0.90%	$287.40 	"$30,669.20 "	-29.80%	"116,400"	-18	https://fortune.com/global500/2019/j-sainsbury	Britain	Food & Drug Stores	Food and Drug Stores	Michael Coupe	London	https://www.about.sainsburys.co.uk
322	China Aerospace Science & Industry	"$37,869.80 "	11.10%	"$1,846.40 "	"$47,048.10 "	14.90%	"146,346"	24	https://fortune.com/global500/2019/china-aerospace-science-industry	China	Aerospace & Defense	Aerospace and Defense	Gao Hongwei	Beijing	https://www.casic.com.cn
323	China Aerospace Science & Technology	"$37,727.60 "	10.10%	"$2,463.70 "	"$63,496.80 "	10.70%	"179,788"	20	https://fortune.com/global500/2019/china-aerospace-science-technology	China	Aerospace & Defense	Aerospace and Defense	Wu Yansheng	Beijing	https://www.spacechina.com
324	Meiji Yasuda Life Insurance	"$37,722.90 "	1.50%	"$2,070.60 "	"$380,597.40 "	-13.40%	"42,950"	-15	https://fortune.com/global500/2019/meiji-yasuda-life-insurance	Japan	Financials	"Insurance: Life, Health (Mutual)"	Akio Negishi	Tokyo	https://www.meijiyasuda.co.jp
325	George Weston	"$37,474.80 "	0.70%	$442.90 	"$32,084.10 "	-24.30%	"197,000"	-17	https://fortune.com/global500/2019/george-weston	Canada	Food & Drug Stores	Food and Drug Stores	Galen G. Weston	"Toronto, Ontario, Canada"	https://www.weston.ca
326	SNCF Mobilités	"$37,388.90 "	4.20%	"$5,313.10 "	"$48,482.60 "	314.90%	"203,865"	-6	https://fortune.com/global500/2019/sncf-mobilites	France	Transportation	Railroads	Guillaume Pepy	"St. Denis, France"	https://www.sncf.com
327	Daiwa House Industry	"$37,371.20 "	9.10%	"$2,141.50 "	"$39,161.80 "	0.40%	"44,947"	15	https://fortune.com/global500/2019/daiwa-house-industry	Japan	Engineering & Construction	"Engineering, Construction"	Takeo Higuchi	"Osaka, Japan"	https://www.daiwahouse.co.jp
328	ABB	"$37,360.00 "	8.90%	"$2,173.00 "	"$44,441.00 "	-1.80%	"146,600"	13	https://fortune.com/global500/2019/abb	Switzerland	Industrials	Industrial Machinery	Peter Voser	Zurich	https://www.abb.com
329	Deere	"$37,357.70 "	25.60%	"$2,368.40 "	"$70,108.00 "	9.70%	"74,413"	65	https://fortune.com/global500/2019/deere	U.S.	Industrials	Construction and Farm Machinery	Samuel R. Allen	"Moline, Ill."	https://www.johndeere.com
330	Tech Data	"$37,239.00 "	1.30%	$340.60 	"$12,986.60 "	192%	"14,000"	-15	https://fortune.com/global500/2019/tech-data	U.S.	Wholesalers	Wholesalers: Electronics and Office Equipment	Richard T. Hume	"Clearwater, Fla."	https://www.techdata.com
331	Power Corp. of Canada	"$37,112.20 "	-6%	"$1,033.20 "	"$331,211.90 "	0.20%	"30,000"	-49	https://fortune.com/global500/2019/power-corp-of-canada	Canada	Financials	"Insurance: Life, Health (stock)"	Paul Desmarais /Andr茅 Desmarais	"Montreal, Quebec, Canada"	https://www.powercorporation.com
332	Swiss Re	"$37,047.00 "	-12.80%	$462 	"$207,570.00 "	16.10%	"14,943"	-75	https://fortune.com/global500/2019/swiss-re	Switzerland	Financials	Insurance: Property and Casualty (Stock)	Christian Mumenthaler	Zurich	https://www.swissre.com
333	Suning.com Group	"$37,032.20 "	33.20%	"$2,014.80 "	"$29,052.70 "	223.30%	"130,455"	94	https://fortune.com/global500/2019/suning-commerce-group	China	Retailing	Specialty Retailers	Hou Enlong	"Nanjing, China"	https://www.suning.com
334	Mitsubishi Heavy Industries	"$36,783.50 "	-0.30%	$914.10 	"$46,469.00 "	-	"80,744"	-23	https://fortune.com/global500/2019/mitsubishi-heavy-industries	Japan	Industrials	Industrial Machinery	Seiji Izumisawa	Tokyo	https://www.mhi.com
335	SK Hynix	"$36,763.10 "	38%	"$14,125.40 "	"$57,056.90 "	50%	"33,000"	107	https://fortune.com/global500/2019/sk-hynix	South Korea	Technology	Semiconductors and Other Electronic Components	Seok-Hee Lee	"Gyeonggi, South Korea"	https://www.skhynix.com
336	Vale	"$36,696.00 "	2.80%	"$6,860.00 "	"$88,190.00 "	24.60%	"70,270"	-11	https://fortune.com/global500/2019/vale	Brazil	Energy	"Mining, Crude-Oil Production"	Eduardo de Salles Bartolomeo	Rio de Janeiro	https://www.vale.com
337	Enterprise Products Partners	"$36,534.20 "	24.90%	"$4,172.40 "	"$56,969.80 "	49.10%	"7,000"	66	https://fortune.com/global500/2019/enterprise-products-partners	U.S.	Energy	Pipelines	A. James Teague	Houston	https://www.enterpriseproducts.com
338	XMXYG	"$36,503.70 "	15.20%	$199.30 	"$16,891.80 "	35.40%	"10,350"	37	https://fortune.com/global500/2019/xiamen-xiangyu-group	China	Wholesalers	Trading	Zhang Shuili	"Xiamen City, China"	https://www.xiangyu-group.com
339	Aisin Seiki	"$36,465.70 "	3.40%	$993.20 	"$33,901.50 "	-18.20%	"119,732"	-10	https://fortune.com/global500/2019/aisin-seiki	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Kiyotaka Ise	"Kariya, Japan"	https://www.aisin.com
340	Jiangsu Shagang Group	"$36,440.90 "	11.90%	"$1,869.20 "	"$33,173.70 "	76%	"31,290"	24	https://fortune.com/global500/2019/jiangsu-shagang-group	China	Materials	Metals	Shen Bin	"Zhangjiagang, China"	https://www.shasteel.cn
341	Nike	"$36,397.00 "	6%	"$1,933.00 "	"$22,536.00 "	-54.40%	"73,100"	-1	https://fortune.com/global500/2019/nike	U.S.	Apparel	Apparel	Mark G. Parker	"Beaverton, Ore."	https://www.nike.com
342	Publix Super Markets	"$36,395.70 "	4.50%	"$2,381.20 "	"$18,982.50 "	3.90%	"202,000"	-8	https://fortune.com/global500/2019/publix-super-markets	U.S.	Food & Drug Stores	Food and Drug Stores	Randall T. Jones Sr.	"Lakeland, Fla."	https://www.publix.com
343	General Dynamics	"$36,193.00 "	16.90%	"$3,345.00 "	"$45,408.00 "	14.90%	"105,600"	40	https://fortune.com/global500/2019/general-dynamics	U.S.	Aerospace & Defense	Aerospace and Defense	Phebe N. Novakovic	"Falls Church, Va."	https://www.generaldynamics.com
344	Exelon	"$35,985.00 "	7.30%	"$2,010.00 "	"$119,666.00 "	-46.70%	"33,383"	12	https://fortune.com/global500/2019/exelon	U.S.	Energy	Utilities	Christopher M. Crane	Chicago	https://www.exeloncorp.com
345	Canon	"$35,796.90 "	-1.60%	"$2,289.50 "	"$44,662.40 "	6.10%	"195,056"	-28	https://fortune.com/global500/2019/canon	Japan	Technology	"Computers, Office Equipment"	Fujio Mitarai	Tokyo	https://www.canon.com
346	Enbridge	"$35,785.00 "	4.60%	"$2,223.70 "	"$122,221.00 "	0.90%	"12,000"	-1	https://fortune.com/global500/2019/enbridge	Canada	Energy	Pipelines	Al Monaco	"Calgary, Alberta, Canada"	https://www.enbridge.com
347	Jizhong Energy Group	"$35,721.30 "	7.60%	($152.80)	"$33,772.30 "	-	"112,859"	12	https://fortune.com/global500/2019/jizhong-energy-group	China	Energy	"Mining, Crude-Oil Production"	Yang GuoZhan	"Xingtai, China"	https://www.jznyjt.com
348	E.ON	"$35,703.60 "	-16.60%	"$3,803.70 "	"$62,092.30 "	-14%	"43,302"	-94	https://fortune.com/global500/2019/e-on	Germany	Energy	Energy	Johannes Teyssen	"Essen, Germany"	https://www.eon.com
349	Fujitsu	"$35,647.90 "	-3.60%	$943.10 	"$28,055.00 "	-38.30%	"132,138"	-36	https://fortune.com/global500/2019/fujitsu	Japan	Technology	Information Technology Services	Tatsuya Tanaka	Tokyo	https://www.fujitsu.com
350	Mizuho Financial Group	"$35,406.30 "	10.20%	$870.90 	"$1,814,332.90 "	-83.30%	"59,132"	17	https://fortune.com/global500/2019/mizuho-financial-group	Japan	Financials	Banks: Commercial and Savings	Tatsufumi Sakai	Tokyo	https://www.mizuho-fg.co.jp
351	Mitsubishi Chemical Holdings	"$35,386.40 "	5.30%	"$1,529.00 "	"$50,352.50 "	-20%	"72,020"	1	https://fortune.com/global500/2019/mitsubishi-chemical-holdings	Japan	Chemicals	Chemicals	Hitoshi Ochi	Tokyo	https://www.mitsubishichem-hd.co.jp
352	CK Hutchison Holdings	"$35,361.20 "	10.90%	"$4,976.30 "	"$157,392.80 "	10.50%	"300,000"	22	https://fortune.com/global500/2019/ck-hutchison-holdings	China	Retailing	Specialty Retailers	"Li Tzar Kuoi, Victor /Fok Kin Ning, Canning"	Hong Kong	https://www.ckh.com.hk
