Rank	Company	Revenues	Revenue Percentage Change	Profits	Assets	Profits Percentage Change	Employees	Rank Change	Fortune Url	Country	Sector	Industry	CEO	HQ Location	Company Website
102	Hitachi	"$85,507.80 "	1.10%	"$2,007.20 "	"$86,984.70 "	-38.70%	"295,941"	-23	https://fortune.com/global500/2019/hitachi	Japan	Technology	"Electronics, Electrical Equip."	Toshiaki Higashihara	Tokyo	https://www.hitachi.com
103	Tesco	"$84,270.60 "	11.80%	"$1,743.10 "	"$65,227.60 "	10.20%	"321,490"	-1	https://fortune.com/global500/2019/tesco	Britain	Food & Drug Stores	Food and Drug Stores	Dave J. Lewis	"Welwyn Garden City, Britain"	https://www.tescoplc.com
104	BNP Paribas	"$83,973.70 "	-28.50%	"$8,881.90 "	"$2,332,675.50 "	1.60%	"197,162"	-60	https://fortune.com/global500/2019/bnp-paribas	France	Financials	Banks: Commercial and Savings	Jean-Laurent Bonnaf茅	Paris	https://group.bnpparibas/
105	JXTG Holdings	"$82,733.30 "	8%	"$2,907.10 "	"$76,604.40 "	-11%	"40,695"	-6	https://fortune.com/global500/2019/jxtg-holdings	Japan	Energy	Petroleum Refining	Tsutomu Sugimori	Tokyo	https://www.hd.jxtg-group.co.jp
106	Reliance Industries	"$82,331.20 "	32.10%	"$5,660.80 "	"$144,715.20 "	1.20%	"194,056"	42	https://fortune.com/global500/2019/reliance-industries	India	Energy	Petroleum Refining	Mukesh D. Ambani	Mumbai	https://www.ril.com
107	China Energy Investment	"$81,977.70 "	8.50%	"$3,531.40 "	"$259,644.40 "	41.50%	"338,472"	-6	https://fortune.com/global500/2019/shenhua-group	China	Energy	"Mining, Crude-Oil Production"	Wang Xiangxi	Beijing	https://www.shenhuagroup.com.cn
108	State Farm Insurance Cos.	"$81,732.20 "	4.30%	"$8,788.40 "	"$272,518.40 "	298.30%	"56,788"	-13	https://fortune.com/global500/2019/state-farm-insurance-cos	U.S.	Financials	Insurance: Property and Casualty (Mutual)	Michael L. Tipsord	"Bloomington, Ill."	https://www.statefarm.com
109	Johnson & Johnson	"$81,581.00 "	6.70%	"$15,297.00 "	"$152,954.00 "	1076.70%	"135,100"	-9	https://fortune.com/global500/2019/johnson-johnson	U.S.	Health Care	Pharmaceuticals	Alex Gorsky	"New Brunswick, N.J."	https://www.jnj.com
110	Electricité de France	"$81,403.30 "	3.70%	"$1,389.10 "	"$323,662.20 "	-61.20%	"165,790"	-16	https://fortune.com/global500/2019/electricite-de-france	France	Energy	Utilities	Jean-Bernard L茅vy	Paris	https://www.edf.fr
111	China Southern Power Grid	"$80,963.60 "	11.20%	"$1,782.40 "	"$118,705.60 "	-8%	"289,735"	-1	https://fortune.com/global500/2019/china-southern-power-grid	China	Energy	Utilities	Meng Zhenping	"Guangzhou, China"	https://www.csg.cn
112	China Minmetals	"$80,076.40 "	9.70%	($373.60)	"$130,626.80 "	-	"199,442"	-3	https://fortune.com/global500/2019/china-minmetals	China	Materials	Metals	Tang Fuping	Beijing	https://www.minmetals.com
113	Equinor	"$79,593.00 "	30.10%	"$7,535.00 "	"$112,508.00 "	64.20%	"20,525"	37	https://fortune.com/global500/2019/statoil	Norway	Energy	Petroleum Refining	Eldar Saetre	"Stavanger, Norway"	https://www.equinor.com
114	International Business Machines	"$79,591.00 "	0.60%	"$8,728.00 "	"$123,382.00 "	51.70%	"381,100"	-22	https://fortune.com/global500/2019/ibm	U.S.	Technology	Information Technology Services	Virginia M. Rometty	"Armonk, N.Y."	https://www.ibm.com
115	BASF	"$78,798.70 "	8.40%	"$5,555.10 "	"$98,933.50 "	-18.90%	"122,404"	-3	https://fortune.com/global500/2019/basf	Germany	Chemicals	Chemicals	Martin Bruderm?ller	"Ludwigshafen, Germany"	https://www.basf.com
